AL-X,AL-Y,AL-Z,AG-X,AG-Y,AG-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,User
-5.1219015,-1.2813892,-1.006151,-1.0606314,-10.271125,-1.4413095,6.1761127,-7.5933213,0.60623336,-0.03848451,-0.11056661,-0.15760323,-0.08286067,-0.70670724,0.50400174,1
-8.9916935,-1.2293115,-2.9669163,0.31124622,-9.315839,-0.6536171,6.4151845,-7.384767,0.6935504,-1.8759671,-0.57604593,1.3616186,-0.15893176,-0.74789846,0.48930484,1
-9.166122,-5.28056,-1.6344717,-3.052607,-8.590396,-1.9273324,5.966808,-7.781537,-0.12358371,-0.99021256,1.6303993,1.5961909,-0.24520218,-0.7181851,0.4655482,1
-1.9780679,-10.83817,3.3988516,-2.7509377,-12.665327,-0.94092125,4.628105,-8.485109,-1.6595091,0.13072516,1.3988814,-0.1282817,-0.24027577,-0.68353933,0.45595342,1
-5.0853977,-1.0940914,1.9587843,3.98874,-18.619707,3.2752678,4.175239,-8.747622,-1.4889234,0.7495316,1.4807373,-0.6542367,-0.26617894,-0.6633925,0.44457847,1
-3.8352625,4.7564874,1.8073523,-0.45729253,-9.579201,0.29927522,4.780585,-8.548493,-0.4895178,-0.5876524,0.43066,-0.000611,-0.2592607,-0.6884113,0.43616003,1
-7.4070244,-2.0075417,-3.8942657,0.33997664,-3.9911342,0.3184288,4.7028246,-8.602778,-0.21458559,0.52412236,-0.9334021,-0.6291912,-0.19854352,-0.6792618,0.46832773,1
-2.2798924,-7.953126,-0.6497212,-2.6264393,-10.556035,-4.3837833,4.7802825,-8.5245905,-0.8066215,1.318858,-0.6609562,0.02443461,-0.1340881,-0.6711348,0.50219136,1
-5.637407,-1.9045525,5.4681325,2.4229321,-16.555904,-0.8643068,5.2240767,-8.299347,-0.016007133,1.1655309,-0.52412236,-0.8258898,-0.05884921,-0.6627733,0.51786715,1
-5.5449,-1.2128162,-1.0374416,-0.8571242,-10.429143,4.661511,5.6371374,-8.000562,0.6197493,1.0567969,-0.60903263,-0.6236934,-0.03159322,-0.654991,0.5257142,1
-4.7345233,0.5929017,-0.071477115,-0.320823,-9.512163,-1.0534488,6.3914437,-7.35243,1.1232202,-0.4783075,0.06719518,0.21930063,-0.111851916,-0.68945175,0.5027861,1
-10.30357,-1.7670846,-2.5717123,0.90261406,-7.40766,0.5482722,6.635279,-7.089369,1.3727094,-1.7953329,-2.0549507,1.4807373,-0.19830976,-0.7283595,0.48301473,1
-10.942448,-6.97896,-1.415805,-3.9121256,-9.119514,-1.448492,5.7835016,-7.916106,0.23821196,-1.0592403,1.808772,1.4049901,-0.26949382,-0.6923164,0.459647,1
-2.7811728,-9.765073,-0.027522206,-4.307169,-14.068329,-0.04309563,4.566891,-8.572852,-1.3491046,0.39828414,1.4569136,-0.07513642,-0.2625598,-0.64633036,0.45775342,1
-5.304837,0.6627512,0.78070784,3.6487634,-18.715475,0.7685388,4.157827,-8.811608,-1.1128526,0.61758476,1.5454891,-0.4025602,-0.28603017,-0.64064926,0.44568866,1
-3.980656,5.340016,1.318754,-0.8619126,-8.207323,-0.2705448,4.5935125,-8.663305,0.13107085,-0.54183745,-0.1600467,-0.20097467,-0.27340254,-0.66389114,0.44052276,1
-6.5495753,-4.239048,-5.7789927,-0.019153614,-3.3686419,-0.20590134,4.4747114,-8.7238245,0.20550796,1.3249667,-0.20891592,-0.6750061,-0.21494442,-0.65035725,0.47514108,1
-0.25612783,-18.957935,2.6723225,-2.291251,-13.476961,-5.8107276,4.655158,-8.625977,-0.30401334,1.1844677,-0.8136725,-0.2779437,-0.14579828,-0.6440656,0.5019563,1
-7.6072087,-3.1415243,4.5920286,3.4165258,-27.463888,3.3734303,5.042323,-8.389256,0.6047633,1.1728612,-0.41355577,-0.8570439,-0.08741389,-0.63694954,0.5130665,1
-4.7765665,1.8123837,-0.80108786,-3.1723173,-12.514492,3.5338416,5.620178,-7.9380198,1.2537282,0.43249258,-0.20158553,-0.39522982,-0.098365165,-0.6430696,0.5017311,1
-5.6489086,0.29572773,-1.8714322,0.59615624,-5.7748146,-0.18435353,6.22492,-7.3845944,1.6995728,-1.6297885,0.88331115,1.0555751,-0.17749646,-0.69363064,0.49284485,1
